
permutación 01234, P_n = 0
permutación 0231546, P_n = 5
permutación 0231564, P_n = 5
permutación 0231645, P_n = 5
permutación 0231654, P_n = 5
permutación 0234156, P_n = 3
permutación 0234165, P_n = 5
permutación 0234516, P_n = 3
permutación 0234561, P_n = 3
permutación 0234615, P_n = 5
permutación 0234651, P_n = 4
permutación 0235146, P_n = 5
permutación 0235164, P_n = 6
permutación 0235416, P_n = 4
permutación 0235461, P_n = 6
permutación 0235614, P_n = 5
permutación 0235641, P_n = 5
permutación 0236145, P_n = 5
permutación 0236154, P_n = 6
permutación 0236415, P_n = 6
permutación 0236451, P_n = 5
permutación 0236514, P_n = 6
permutación 0236541, P_n = 4
permutación 0241356, P_n = 5
permutación 0241365, P_n = 7
permutación 0241536, P_n = 6
permutación 0241563, P_n = 6
permutación 0241635, P_n = 7
permutación 0241653, P_n = 7
permutación 0243156, P_n = 4
permutación 0243165, P_n = 6
permutación 0243516, P_n = 6
permutación 0243561, P_n = 6
permutación 0243615, P_n = 6
permutación 0243651, P_n = 6
permutación 0245136, P_n = 5
permutación 0245163, P_n = 7
permutación 0245316, P_n = 5
permutación 0245361, P_n = 6
permutación 0245613, P_n = 5
permutación 0245631, P_n = 5
permutación 0246135, P_n = 7
permutación 0246153, P_n = 7
permutación 0246315, P_n = 7
permutación 0246351, P_n = 7
permutación 0246513, P_n = 6
permutación 0246531, P_n = 6
permutación 0251346, P_n = 5
permutación 0251364, P_n = 7
permutación 0251436, P_n = 6
permutación 0251463, P_n = 7
permutación 0251634, P_n = 7
permutación 0251643, P_n = 6
permutación 0253146, P_n = 6
permutación 0253164, P_n = 7
permutación 0253416, P_n = 5
permutación 0253461, P_n = 6
permutación 0253614, P_n = 7
permutación 0253641, P_n = 7
permutación 0254136, P_n = 6
permutación 0254163, P_n = 6
permutación 0254316, P_n = 4
permutación 0254361, P_n = 6
permutación 0254613, P_n = 7
permutación 0254631, P_n = 6
permutación 0256134, P_n = 5
permutación 0256143, P_n = 6
permutación 0256314, P_n = 7
permutación 0256341, P_n = 6
permutación 0256413, P_n = 7
permutación 0256431, P_n = 5
permutación 0261345, P_n = 5
permutación 0261354, P_n = 6
permutación 0261435, P_n = 7
permutación 0261453, P_n = 7
permutación 0261534, P_n = 7
permutación 0261543, P_n = 6
permutación 0263145, P_n = 6
permutación 0263154, P_n = 7
permutación 0263415, P_n = 7
permutación 0263451, P_n = 5
permutación 0263514, P_n = 7
permutación 0263541, P_n = 6
permutación 0264135, P_n = 7
permutación 0264153, P_n = 8
permutación 0264315, P_n = 6
permutación 0264351, P_n = 6
permutación 0264513, P_n = 7
permutación 0264531, P_n = 7
permutación 0265134, P_n = 6
permutación 0265143, P_n = 6
permutación 0265314, P_n = 6
permutación 0265341, P_n = 5
permutación 0265413, P_n = 6
permutación 0265431, P_n = 4
permutación 0312456, P_n = 3
permutación 0312465, P_n = 6
permutación 0312546, P_n = 5
permutación 0312564, P_n = 5
permutación 0312645, P_n = 5
permutación 0312654, P_n = 5
permutación 0314256, P_n = 5
permutación 0314265, P_n = 7
permutación 0314526, P_n = 5
permutación 0314562, P_n = 5
permutación 0314625, P_n = 7
permutación 0314652, P_n = 6
permutación 0315246, P_n = 6
permutación 0315264, P_n = 7
permutación 0315426, P_n = 6
permutación 0315462, P_n = 7
permutación 0315624, P_n = 7
permutación 0315642, P_n = 7
permutación 0316245, P_n = 6
permutación 0316254, P_n = 7
permutación 0316425, P_n = 7
permutación 0316452, P_n = 7
permutación 0316524, P_n = 6
permutación 0316542, P_n = 6
permutación 0321456, P_n = 3
permutación 0321465, P_n = 6
permutación 0321546, P_n = 5
permutación 0321564, P_n = 5
permutación 0321645, P_n = 5
permutación 0321654, P_n = 6
permutación 0324156, P_n = 5
permutación 0324165, P_n = 6
permutación 0324516, P_n = 5
permutación 0324561, P_n = 5
permutación 0324615, P_n = 7
permutación 0324651, P_n = 6
permutación 0325146, P_n = 6
permutación 0325164, P_n = 7
permutación 0325416, P_n = 6
permutación 0325461, P_n = 7
permutación 0325614, P_n = 6
permutación 0325641, P_n = 7
permutación 0326145, P_n = 6
permutación 0326154, P_n = 6
permutación 0326415, P_n = 7
permutación 0326451, P_n = 7
permutación 0326514, P_n = 6
permutación 0326541, P_n = 6
permutación 0341256, P_n = 3
permutación 0341265, P_n = 5
permutación 0341526, P_n = 5
permutación 0341562, P_n = 5
permutación 0341625, P_n = 6
permutación 0341652, P_n = 6
permutación 0342156, P_n = 4
permutación 0342165, P_n = 6
permutación 0342516, P_n = 5
permutación 0342561, P_n = 5
permutación 0342615, P_n = 7
permutación 0342651, P_n = 6
permutación 0345126, P_n = 3
permutación 0345162, P_n = 5
permutación 0345216, P_n = 4
permutación 0345261, P_n = 5
permutación 0345612, P_n = 3
permutación 0345621, P_n = 4
permutación 0346125, P_n = 5
permutación 0346152, P_n = 6
permutación 0346215, P_n = 6
permutación 0346251, P_n = 6
permutación 0346512, P_n = 4
permutación 0346521, P_n = 5
permutación 0351246, P_n = 5
permutación 0351264, P_n = 6
permutación 0351426, P_n = 6
permutación 0351462, P_n = 7
permutación 0351624, P_n = 7
permutación 0351642, P_n = 7
permutación 0352146, P_n = 6
permutación 0352164, P_n = 7
permutación 0352416, P_n = 6
permutación 0352461, P_n = 7
permutación 0352614, P_n = 7
permutación 0352641, P_n = 7
permutación 0354126, P_n = 4
permutación 0354162, P_n = 6
permutación 0354216, P_n = 5
permutación 0354261, P_n = 6
permutación 0354612, P_n = 6
permutación 0354621, P_n = 7
permutación 0356124, P_n = 5
permutación 0356142, P_n = 6
permutación 0356214, P_n = 6
permutación 0356241, P_n = 7
permutación 0356412, P_n = 5
permutación 0356421, P_n = 6
permutación 0361245, P_n = 5
permutación 0361254, P_n = 6
permutación 0361425, P_n = 7
permutación 0361452, P_n = 7
permutación 0361524, P_n = 7
permutación 0361542, P_n = 6
permutación 0362145, P_n = 6
permutación 0362154, P_n = 6
permutación 0362415, P_n = 7
permutación 0362451, P_n = 7
permutación 0362514, P_n = 8
permutación 0362541, P_n = 6
permutación 0364125, P_n = 6
permutación 0364152, P_n = 7
permutación 0364215, P_n = 7
permutación 0364251, P_n = 7
permutación 0364512, P_n = 5
permutación 0364521, P_n = 6
permutación 0365124, P_n = 6
permutación 0365142, P_n = 6
permutación 0365214, P_n = 6
permutación 0365241, P_n = 6
permutación 0365412, P_n = 4
permutación 0365421, P_n = 5
permutación 0412356, P_n = 3
permutación 0412365, P_n = 5
permutación 0412536, P_n = 5
permutación 0412563, P_n = 5
permutación 0412635, P_n = 6
permutación 0412653, P_n = 6
permutación 0413256, P_n = 4
permutación 0413265, P_n = 6
permutación 0413526, P_n = 6
permutación 0413562, P_n = 6
permutación 0413625, P_n = 7
permutación 0413652, P_n = 7
permutación 0415236, P_n = 5
permutación 0415263, P_n = 7
permutación 0415326, P_n = 6
permutación 0415362, P_n = 7
permutación 0415623, P_n = 5
permutación 0415632, P_n = 6
permutación 0416235, P_n = 7
permutación 0416253, P_n = 7
permutación 0416325, P_n = 6
permutación 0416352, P_n = 8
permutación 0416523, P_n = 6
permutación 0416532, P_n = 6
permutación 0421356, P_n = 5
permutación 0421365, P_n = 6
permutación 0421536, P_n = 6
permutación 0421563, P_n = 6
permutación 0421635, P_n = 7
permutación 0421653, P_n = 6
permutación 0423156, P_n = 5
permutación 0423165, P_n = 7
permutación 0423516, P_n = 5
permutación 0423561, P_n = 5
permutación 0423615, P_n = 7
permutación 0423651, P_n = 6
permutación 0425136, P_n = 6
permutación 0425163, P_n = 7
permutación 0425316, P_n = 6
permutación 0425361, P_n = 7
permutación 0425613, P_n = 6
permutación 0425631, P_n = 7
permutación 0426135, P_n = 7
permutación 0426153, P_n = 8
permutación 0426315, P_n = 8
permutación 0426351, P_n = 7
permutación 0426513, P_n = 6
permutación 0426531, P_n = 6
permutación 0431256, P_n = 4
permutación 0431265, P_n = 6
permutación 0431526, P_n = 6
permutación 0431562, P_n = 6
permutación 0431625, P_n = 7
permutación 0431652, P_n = 6
permutación 0432156, P_n = 3
permutación 0432165, P_n = 5
permutación 0432516, P_n = 5
permutación 0432561, P_n = 5
permutación 0432615, P_n = 6
permutación 0432651, P_n = 6
permutación 0435126, P_n = 5
permutación 0435162, P_n = 7
permutación 0435216, P_n = 5
permutación 0435261, P_n = 7
permutación 0435612, P_n = 5
permutación 0435621, P_n = 5
permutación 0436125, P_n = 6
permutación 0436152, P_n = 7
permutación 0436215, P_n = 7
permutación 0436251, P_n = 7
permutación 0436512, P_n = 6
permutación 0436521, P_n = 6
permutación 0451236, P_n = 3
permutación 0451263, P_n = 5
permutación 0451326, P_n = 4
permutación 0451362, P_n = 6
permutación 0451623, P_n = 5
permutación 0451632, P_n = 6
permutación 0452136, P_n = 5
permutación 0452163, P_n = 6
permutación 0452316, P_n = 5
permutación 0452361, P_n = 5
permutación 0452613, P_n = 6
permutación 0452631, P_n = 6
permutación 0453126, P_n = 5
permutación 0453162, P_n = 7
permutación 0453216, P_n = 4
permutación 0453261, P_n = 6
permutación 0453612, P_n = 5
permutación 0453621, P_n = 6
permutación 0456123, P_n = 3
permutación 0456132, P_n = 4
permutación 0456213, P_n = 5
permutación 0456231, P_n = 5
permutación 0456312, P_n = 5
permutación 0456321, P_n = 4
permutación 0461235, P_n = 5
permutación 0461253, P_n = 6
permutación 0461325, P_n = 6
permutación 0461352, P_n = 7
permutación 0461523, P_n = 6
permutación 0461532, P_n = 6
permutación 0462135, P_n = 7
permutación 0462153, P_n = 7
permutación 0462315, P_n = 7
permutación 0462351, P_n = 7
permutación 0462513, P_n = 7
permutación 0462531, P_n = 8
permutación 0463125, P_n = 7
permutación 0463152, P_n = 8
permutación 0463215, P_n = 6
permutación 0463251, P_n = 6
permutación 0463512, P_n = 6
permutación 0463521, P_n = 7
permutación 0465123, P_n = 4
permutación 0465132, P_n = 5
permutación 0465213, P_n = 6
permutación 0465231, P_n = 6
permutación 0465312, P_n = 6
permutación 0465321, P_n = 5
permutación 0512346, P_n = 3
permutación 0512364, P_n = 5
permutación 0512436, P_n = 4
permutación 0512463, P_n = 6
permutación 0512634, P_n = 5
permutación 0512643, P_n = 6
permutación 0513246, P_n = 6
permutación 0513264, P_n = 6
permutación 0513426, P_n = 5
permutación 0513462, P_n = 7
permutación 0513624, P_n = 7
permutación 0513642, P_n = 7
permutación 0514236, P_n = 5
permutación 0514263, P_n = 7
permutación 0514326, P_n = 4
permutación 0514362, P_n = 6
permutación 0514623, P_n = 7
permutación 0514632, P_n = 6
permutación 0516234, P_n = 5
permutación 0516243, P_n = 6
permutación 0516324, P_n = 7
permutación 0516342, P_n = 7
permutación 0516423, P_n = 7
permutación 0516432, P_n = 6
permutación 0521346, P_n = 5
permutación 0521364, P_n = 7
permutación 0521436, P_n = 6
permutación 0521463, P_n = 7
permutación 0521634, P_n = 6
permutación 0521643, P_n = 6
permutación 0523146, P_n = 5
permutación 0523164, P_n = 7
permutación 0523416, P_n = 5
permutación 0523461, P_n = 5
permutación 0523614, P_n = 7
permutación 0523641, P_n = 6
permutación 0524136, P_n = 6
permutación 0524163, P_n = 8
permutación 0524316, P_n = 6
permutación 0524361, P_n = 6
permutación 0524613, P_n = 7
permutación 0524631, P_n = 7
permutación 0526134, P_n = 6
permutación 0526143, P_n = 6
permutación 0526314, P_n = 7
permutación 0526341, P_n = 7
permutación 0526413, P_n = 8
permutación 0526431, P_n = 6
permutación 0531246, P_n = 5
permutación 0531264, P_n = 7
permutación 0531426, P_n = 6
permutación 0531462, P_n = 7
permutación 0531624, P_n = 7
permutación 0531642, P_n = 8
permutación 0532146, P_n = 5
permutación 0532164, P_n = 6
permutación 0532416, P_n = 6
permutación 0532461, P_n = 7
permutación 0532614, P_n = 6
permutación 0532641, P_n = 7
permutación 0534126, P_n = 5
permutación 0534162, P_n = 7
permutación 0534216, P_n = 5
permutación 0534261, P_n = 7
permutación 0534612, P_n = 5
permutación 0534621, P_n = 6
permutación 0536124, P_n = 6
permutación 0536142, P_n = 7
permutación 0536214, P_n = 7
permutación 0536241, P_n = 8
permutación 0536412, P_n = 6
permutación 0536421, P_n = 7
permutación 0541236, P_n = 4
permutación 0541263, P_n = 6
permutación 0541326, P_n = 5
permutación 0541362, P_n = 7
permutación 0541623, P_n = 6
permutación 0541632, P_n = 6
permutación 0542136, P_n = 5
permutación 0542163, P_n = 7
permutación 0542316, P_n = 5
permutación 0542361, P_n = 6
permutación 0542613, P_n = 7
permutación 0542631, P_n = 7
permutación 0543126, P_n = 4
permutación 0543162, P_n = 6
permutación 0543216, P_n = 3
permutación 0543261, P_n = 5
permutación 0543612, P_n = 6
permutación 0543621, P_n = 5
permutación 0546123, P_n = 5
permutación 0546132, P_n = 6
permutación 0546213, P_n = 7
permutación 0546231, P_n = 7
permutación 0546312, P_n = 6
permutación 0546321, P_n = 5
permutación 0561234, P_n = 3
permutación 0561243, P_n = 4
permutación 0561324, P_n = 6
permutación 0561342, P_n = 5
permutación 0561423, P_n = 5
permutación 0561432, P_n = 4
permutación 0562134, P_n = 5
permutación 0562143, P_n = 6
permutación 0562314, P_n = 5
permutación 0562341, P_n = 5
permutación 0562413, P_n = 6
permutación 0562431, P_n = 6
permutación 0563124, P_n = 5
permutación 0563142, P_n = 6
permutación 0563214, P_n = 6
permutación 0563241, P_n = 6
permutación 0563412, P_n = 5
permutación 0563421, P_n = 5
permutación 0564123, P_n = 5
permutación 0564132, P_n = 6
permutación 0564213, P_n = 6
permutación 0564231, P_n = 6
permutación 0564312, P_n = 5
permutación 0564321, P_n = 4
permutación 0612345, P_n = 3
permutación 0612354, P_n = 4
permutación 0612435, P_n = 6
permutación 0612453, P_n = 5
permutación 0612534, P_n = 5
permutación 0612543, P_n = 4
permutación 0613245, P_n = 6
permutación 0613254, P_n = 6
permutación 0613425, P_n = 6
permutación 0613452, P_n = 5
permutación 0613524, P_n = 7
permutación 0613542, P_n = 6
permutación 0614235, P_n = 6
permutación 0614253, P_n = 7
permutación 0614325, P_n = 6
permutación 0614352, P_n = 6
permutación 0614523, P_n = 6
permutación 0614532, P_n = 5
permutación 0615234, P_n = 5
permutación 0615243, P_n = 6
permutación 0615324, P_n = 6
permutación 0615342, P_n = 7
permutación 0615423, P_n = 5
permutación 0615432, P_n = 4
permutación 0621345, P_n = 5
permutación 0621354, P_n = 6
permutación 0621435, P_n = 7
permutación 0621453, P_n = 7
permutación 0621534, P_n = 7
permutación 0621543, P_n = 6
permutación 0623145, P_n = 5
permutación 0623154, P_n = 6
permutación 0623415, P_n = 5
permutación 0623451, P_n = 5
permutación 0623514, P_n = 6
permutación 0623541, P_n = 6
permutación 0624135, P_n = 7
permutación 0624153, P_n = 7
permutación 0624315, P_n = 6
permutación 0624351, P_n = 8
permutación 0624513, P_n = 7
permutación 0624531, P_n = 7
permutación 0625134, P_n = 7
permutación 0625143, P_n = 6
permutación 0625314, P_n = 7
permutación 0625341, P_n = 7
permutación 0625413, P_n = 6
permutación 0625431, P_n = 6
permutación 0631245, P_n = 5
permutación 0631254, P_n = 6
permutación 0631425, P_n = 7
permutación 0631452, P_n = 7
permutación 0631524, P_n = 7
permutación 0631542, P_n = 6
permutación 0632145, P_n = 5
permutación 0632154, P_n = 6
permutación 0632415, P_n = 7
permutación 0632451, P_n = 6
permutación 0632514, P_n = 7
permutación 0632541, P_n = 6
permutación 0634125, P_n = 5
permutación 0634152, P_n = 7
permutación 0634215, P_n = 6
permutación 0634251, P_n = 7
permutación 0634512, P_n = 5
permutación 0634521, P_n = 5
permutación 0635124, P_n = 6
permutación 0635142, P_n = 8
permutación 0635214, P_n = 7
permutación 0635241, P_n = 8
permutación 0635412, P_n = 6
permutación 0635421, P_n = 6
permutación 0641235, P_n = 5
permutación 0641253, P_n = 6
permutación 0641325, P_n = 6
permutación 0641352, P_n = 7
permutación 0641523, P_n = 7
permutación 0641532, P_n = 6
permutación 0642135, P_n = 7
permutación 0642153, P_n = 7
permutación 0642315, P_n = 7
permutación 0642351, P_n = 7
permutación 0642513, P_n = 8
permutación 0642531, P_n = 8
permutación 0643125, P_n = 6
permutación 0643152, P_n = 6
permutación 0643215, P_n = 5
permutación 0643251, P_n = 6
permutación 0643512, P_n = 6
permutación 0643521, P_n = 6
